"";"Date";"depth";"DO";"DOY";"year"
"1";2002-01-23;25;11,2672623529412;23;2002
"2";2002-02-27;25;12,2083166666667;58;2002
"3";2002-03-27;25;12,2847341666667;86;2002
"4";2002-04-17;25;11,7234733333333;107;2002
"5";2002-05-13;25;9,70642785714286;133;2002
"6";2002-06-17;25;7,83028277777778;168;2002
"7";2002-07-22;25;5,43029294117647;203;2002
"8";2002-08-19;25;4,23367;231;2002
"9";2002-09-17;25;2,65390866666667;260;2002
"10";2002-10-17;25;1,3480025;290;2002
"11";2002-11-20;25;0,508316363636364;324;2002
"12";2003-01-23;25;10,8095536363636;23;2003
"13";2003-02-18;25;11,8389125;49;2003
"14";2003-03-20;25;12,5354492307692;79;2003
"15";2003-04-16;25;12,091825;106;2003
"16";2003-05-15;25;10,74659;135;2003
"17";2003-06-12;25;8,42342;163;2003
"18";2003-07-01;25;7,11873764705882;182;2003
"19";2003-08-13;25;4,9167675;225;2003
"20";2003-09-04;25;3,92425875;247;2003
"21";2003-10-16;25;1,76688047619048;289;2003
"22";2003-11-13;25;1,07096555555556;317;2003
"23";2003-12-09;25;3,529855;343;2003
"24";2004-01-15;25;9,67224666666667;15;2004
"25";2004-02-18;25;11,7879890909091;49;2004
"26";2004-03-18;25;12,67217;78;2004
"27";2004-04-15;25;11,8024157142857;106;2004
"28";2004-05-13;25;10,42513;134;2004
"29";2004-06-09;25;8,55708866666667;161;2004
"30";2004-07-08;25;6,75887153846154;190;2004
"31";2004-08-11;25;4,74812571428571;224;2004
"32";2004-09-09;25;3,69169083333333;253;2004
"33";2004-10-13;25;1,59517111111111;287;2004
"34";2004-11-11;25;1,31187;316;2004
"35";2004-12-09;25;7,11643846153846;344;2004
"36";2005-01-13;25;10,2409471428571;13;2005
"37";2005-02-17;25;11,759418;48;2005
"38";2005-03-17;25;12,393208;76;2005
"39";2005-04-13;25;12,2782086666667;103;2005
"40";2005-05-18;25;10,1190385714286;138;2005
"41";2005-06-16;25;7,68703666666667;167;2005
"42";2005-07-14;25;6,42158933333333;195;2005
"43";2005-08-10;25;4,49842928571429;222;2005
"44";2005-09-15;25;3,11237727272727;258;2005
"45";2005-10-12;25;2,44955555555556;285;2005
"46";2005-11-10;25;1,0440675;314;2005
"47";2005-12-07;25;8,15806923076923;341;2005
"48";2006-01-12;25;11,2773618181818;12;2006
"49";2006-02-22;25;13,4619969230769;53;2006
"50";2006-03-23;25;14,0809172727273;82;2006
"51";2006-04-12;25;12,5353707692308;102;2006
"52";2006-05-11;25;11,467016;131;2006
"53";2006-06-14;25;8,5567675;165;2006
"54";2006-07-13;25;6,57186192307692;194;2006
"55";2006-08-16;25;4,53911928571429;228;2006
"56";2006-09-14;25;4,15002333333333;257;2006
"57";2006-10-12;25;2,129915;285;2006
"58";2006-11-16;25;0,305791666666667;320;2006
"59";2006-12-13;25;0,170145;347;2006
"60";2007-01-17;25;9,123051;17;2007
"61";2007-02-15;25;11,1444815384615;46;2007
"62";2007-03-14;25;11,09229;73;2007
"63";2007-04-12;25;11,1563876923077;102;2007
"64";2007-05-10;25;8,429821;130;2007
"65";2007-06-13;25;6,60775166666667;164;2007
"66";2007-07-12;25;5,19373;193;2007
"67";2007-08-09;25;3,90354333333333;221;2007
"68";2007-09-12;25;1,91378;255;2007
"69";2007-10-10;25;0,513043571428571;283;2007
"70";2007-11-08;25;8,27024454545455;312;2007
"71";2007-12-13;25;10,07194625;347;2007
"72";2008-01-23;25;11,3819336363636;23;2008
"73";2008-02-21;25;12,31967;52;2008
"74";2008-03-19;25;13,14222;79;2008
"75";2008-04-17;25;12,9443753846154;108;2008
"76";2008-05-21;25;10,01536125;142;2008
"77";2008-06-11;25;8,64574111111111;163;2008
"78";2008-07-10;25;6,73609176470588;192;2008
