"";"Date";"DOmass";"month";"year";"DOY"
"1";2002-01-23;3,79859412916084;1;2002;23
"2";2002-02-27;4,14185111433132;2;2002;58
"3";2002-03-27;4,14613193169043;3;2002;86
"4";2002-04-17;3,98563718447429;4;2002;107
"5";2002-05-13;3,3346686324876;5;2002;133
"6";2002-06-17;2,39632355386787;6;2002;168
"7";2002-07-22;1,51386375469343;7;2002;203
"8";2002-08-19;0,946779700423345;8;2002;231
"9";2002-09-17;0,663250510340017;9;2002;260
"10";2002-10-17;0,69408753042628;10;2002;290
"11";2002-11-20;1,53289760580036;11;2002;324
"12";2003-01-23;3,66259009243227;1;2003;23
"13";2003-02-18;4,00008198235219;2;2003;49
"14";2003-03-20;4,25706926841062;3;2003;79
"15";2003-04-16;4,15338478469841;4;2003;106
"16";2003-05-15;3,56432599438827;5;2003;135
"17";2003-06-12;2,57830401310619;6;2003;163
"18";2003-07-01;1,97773304564087;7;2003;182
"19";2003-08-13;1,08592156930288;8;2003;225
"20";2003-09-04;0,710125618252961;9;2003;247
"21";2003-10-16;0,943892823078887;10;2003;289
"22";2003-11-13;1,40283643107062;11;2003;317
"23";2003-12-09;1,70236747179757;12;2003;343
"24";2004-01-15;3,27985019523676;1;2004;15
"25";2004-02-18;3,99306650677861;2;2004;49
"26";2004-03-18;4,26373241340605;3;2004;78
"27";2004-04-15;4,00336942396831;4;2004;106
"28";2004-05-13;3,55667976159888;5;2004;134
"29";2004-06-09;2,89056859281136;6;2004;161
"30";2004-07-08;2,16371857267792;7;2004;190
"31";2004-08-11;1,3767060276382;8;2004;224
"32";2004-09-09;0,882194214250997;9;2004;253
"33";2004-10-13;0,830336822806172;10;2004;287
"34";2004-11-11;1,15132010545707;11;2004;316
"35";2004-12-09;2,40818663179677;12;2004;344
"36";2005-01-13;3,42044947865152;1;2005;13
"37";2005-02-17;3,98252079233211;2;2005;48
"38";2005-03-17;4,1972302427993;3;2005;76
"39";2005-04-13;4,16157960852333;4;2005;103
"40";2005-05-18;3,49284001340908;5;2005;138
"41";2005-06-16;2,62145667637607;6;2005;167
"42";2005-07-14;1,9010278994965;7;2005;195
"43";2005-08-10;1,28621403488092;8;2005;222
"44";2005-09-15;0,781198924039473;9;2005;258
"45";2005-10-12;1,02252535176574;10;2005;285
"46";2005-11-10;0,9580989918732;11;2005;314
"47";2005-12-07;2,75146095813659;12;2005;341
"48";2006-01-12;3,85784286544015;1;2006;12
"49";2006-02-22;4,57757440287471;2;2006;53
"50";2006-03-23;4,75334890165935;3;2006;82
"51";2006-04-12;4,26760761562525;4;2006;102
