;DOY;Lake_Height;Discharge_in;Discharge_out;Prec;Air_T;Rad
1;1;428,9747917;1,709583333;5,498041667;0;5,116666667;40,29166667
2;2;428,9735417;2,793583333;4,97325;7,2;4,954166667;6,958333333
3;3;428,9802083;7,075625;8,1195;7,9;4,7;44,70833333
4;4;429,0164167;14,97183333;8,335791667;3,7;5,575;40,16666667
5;5;429,0446667;16,949;13,513;0,6;6,133333333;57
6;6;429,0582083;11,71091667;13,00504167;0,9;5,066666667;28,41666667
7;7;429,0707083;13,186;7,167958333;13,9;5,133333333;4,916666667
8;8;429,12425;17,78729167;14,531;23,4;4,691666667;11,04166667
9;9;429,2602083;57,69441667;25,59391667;14,7;5,4;11,16666667
10;10;429,3711667;49,005125;37,94875;14,4;5,8625;7,25
11;11;429,55;75,0275;56,099125;21,2;5,85;38,91666667
12;12;429,56975;38,17129167;51,86720833;13;4,295833333;15,08333333
13;13;429,5369583;26,019625;45,988875;0,7;2,85;43,91666667
14;14;429,4593333;16,054875;37,67491667;1,1;0,516666667;15,33333333
15;15;429,3945833;11,57641667;28,601;4,6;1,320833333;53,16666667
16;16;429,3317083;9,508625;25,87825;3,2;0,541666667;51,45833333
17;17;429,2765833;8,141208333;21,84729167;0,3;-0,916666667;39,625
18;18;429,2260417;7,1865;20,69008333;0;-4,870833333;36,5
19;19;429,1884583;6,714625;18,080375;0,7;-1,9625;28,20833333
20;20;429,1590833;6,221208333;16,73929167;2,3;1,033333333;24,125
21;21;429,131125;5,83375;15,20608333;0;1,170833333;73,16666667
22;22;429,1085417;5,354666667;13,32283333;0,8;1,4875;63,33333333
23;23;429,0889167;5,223833333;13,157;1;5,275;97,625
24;24;429,0702083;5,456083333;12,360625;0;2,491666667;52,08333333
25;25;429,0560833;5,400583333;11,02954167;0;3,220833333;79,79166667
26;26;429,0469583;5,632291667;10,649875;0;4,758333333;81
27;27;429,0422083;6,201416667;9,256;0;5,133333333;50,125
28;28;429,0479583;7,034416667;8,0665;0;8,479166667;58,375
29;29;429,0562917;8,774708333;8,079;0;9,2625;87,29166667
30;30;429,07675;9,399333333;3,555458333;5,2;7,675;69,54166667
31;31;429,1173333;15,69458333;13,66066667;24,1;8,375;9,708333333
32;32;429,15575;17,43279167;15,750125;1;10,54166667;70,66666667
33;33;429,1702917;11,29104167;12,86716667;0;9,175;76,41666667
34;34;429,177375;10,65141667;15,963;6,6;5,1625;29,75
35;35;429,176125;10,80058333;14,99541667;2,5;3,120833333;27,79166667
36;36;429,159875;10,15041667;21,523125;0,4;5,425;104,4166667
37;37;429,1365;9,284791667;18,102375;0;3,091666667;45,83333333
38;38;429,123375;9,016416667;14,218625;3;3,458333333;14
39;39;429,1295417;10,16745833;10,67670833;3,1;6,904166667;32,75
