year;River;type;water_discharge_m3s;PO4_mgl;Ptot_mgl
1987;Broye Canal ;outflow;14.100;30.00;83.00
1988;Broye Canal ;outflow;14.200;32.00;69.00
1989;Broye Canal ;outflow;6.550;26.00;62.00
1990;Broye Canal ;outflow;11.100;14.00;50.00
1991;Broye Canal ;outflow;10.200;29.00;62.00
1992;Broye Canal ;outflow;11.700;37.00;49.00
1993;Broye Canal ;outflow;10.000;13.00;37.00
1994;Broye Canal ;outflow;14.600;19.00;51.00
1995;Broye Canal ;outflow;14.500;25.00;46.00
1996;Broye Canal ;outflow;7.660;19.00;34.00
1997;Broye Canal ;outflow;7.190;4.00;24.00
1998;Broye Canal ;outflow;11.100;11.00;27.00
1999;Broye Canal ;outflow;17.000;14.00;33.00
2000;Broye Canal ;outflow;12.400;21.00;34.00
2001;Broye Canal ;outflow;18.900;13.00;40.00
2002;Broye Canal ;outflow;11.700;16.00;30.00
2003;Broye Canal ;outflow;5.640;10.00;30.00
2004;Broye Canal ;outflow;7.480;9.00;14.00
2005;Broye Canal ;outflow;6.340;8.00;13.00
2006;Broye Canal ;outflow;16.300;6.00;15.00
2007;Broye Canal ;outflow;14.200;23.00;35.00
2008;Broye Canal ;outflow;9.560;2.00;15.00
1987;Broye Domdidier;inflow;10.000;43.88;128.87
1988;Broye Domdidier;inflow;10.500;41.94;160.85
1989;Broye Domdidier;inflow;4.640;51.83;168.89
1990;Broye Domdidier;inflow;8.090;55.36;219.46
1991;Broye Domdidier;inflow;7.230;34.44;178.09
1992;Broye Domdidier;inflow;8.230;60.04;240.66
1993;Broye Domdidier;inflow;6.580;60.88;158.93
1994;Broye Domdidier;inflow;9.400;NA;NA
1995;Broye Domdidier;inflow;12.000;26.42;129.31
1996;Broye Domdidier;inflow;7.140;34.04;102.89
1997;Broye Domdidier;inflow;7.160;35.82;202.47
1998;Broye Domdidier;inflow;6.660;33.68;139.51
1999;Broye Domdidier;inflow;10.600;28.72;153.71
2000;Broye Domdidier;inflow;7.900;36.82;144.39
2001;Broye Domdidier;inflow;11.700;33.58;227.28
2002;Broye Domdidier;inflow;8.050;36.42;296.19
2003;Broye Domdidier;inflow;4.750;23.04;138.64
2004;Broye Domdidier;inflow;5.900;23.57;154.77
